date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:33:42	110582/110582	---M--	200	added ('OK')	image/jpeg	etag:%221aff6-6000553d-2b851f;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2020/11/coming-soon-2.jpg	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2020/11/coming-soon-2.jpg	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:43	70/70	---M--	200	added ('OK')	image/png	etag:%2246-60d9eb39-23abb2;;;%22	https://softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:44	70/70	---M--	200	added ('OK')	image/png	etag:%2246-60d9eb39-23da4e;;;%22	https://softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:44	71/71	---M--	200	added ('OK')	image/png	etag:%2247-60d9eb39-23abaf;;;%22	https://softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:45	90/90	---M--	200	added ('OK')	image/png	etag:%225a-60d9eb39-23da5c;;;%22	https://softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:45	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-60d9eb39-23abb1;;;%22	https://softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/9b926.css?5821f)
03:33:46	8706/8706	---M--	200	added ('OK')	image/png	etag:%222202-6074071b-2b66c7;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Ban13.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Ban13.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:48	343004/343004	---M--	200	added ('OK')	image/png	etag:%2253bdc-6074071e-2b66e0;;;%22	https://softek.radiantthemes.com/wp-content/uploads/2021/04/Ban20.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/wp-content/uploads/2021/04/Ban20.png	(from https://softek.radiantthemes.com/home-version-one/)
03:33:50	68088/68088	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:49%20GMT	https://softek.radiantthemes.com/home-version-one/dummy.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/dummy.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
03:33:51	68102/68102	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2010:33:50%20GMT	https://softek.radiantthemes.com/home-version-one/images/transparent.png	C:/Users/Mov's/Desktop/Test2/softek.radiantthemes.com/home-version-one/images/transparent.png	(from https://softek.radiantthemes.com/wp-content/litespeed/cssjs/ab194.js?6e26f)
